"Name";"ID";"Location";"Size(MB)";"Status"
"Orphaned Cache Item";"60babab5-2563-4f78-8d1b-15969998f399";"C:\windows\ccmcache\1u";"6.28";"Deleted!"
"Orphaned Cache Item";"45fce9dd-131a-48a0-a7cc-ef2554009527";"C:\windows\ccmcache\1o";"5.56";"Deleted!"
"Orphaned Cache Item";"VIT00004";"System.Object[]";"5.55";"Deleted!"
"Orphaned Cache Item";"9aaaae88-e96f-4a1b-8775-47746cdd7b1b";"C:\windows\ccmcache\1r";"45.51";"Deleted!"
"Orphaned Cache Item";"c89cd6bb-8bde-4eda-be33-012464a0c20a";"C:\windows\ccmcache\1n";"4.52";"Deleted!"
"Security Update for Microsoft Office 2016 (KB4011095) 64-Bit Edition";"efdc351f-ac5c-4c79-9e17-d99b7638fea5";"C:\windows\ccmcache\1s";"4.31";"Deleted!"
"Orphaned Cache Item";"a0c42a95-ac7c-44eb-8f3d-525a25cf5a90";"C:\windows\ccmcache\24";"4.19";"Deleted!"
"Orphaned Cache Item";"d3140e0f-8c63-4867-8d6c-fd127ddbeeea";"C:\windows\ccmcache\1j";"32.89";"Deleted!"
"Definition Update for Windows Defender Antivirus - KB2267602 (Definition 1.259.16.0)";"e9e3631c-ab9e-45d7-8ca2-ad0f7459f537";"C:\windows\ccmcache\1l";"32.87";"Deleted!"
"Orphaned Cache Item";"90dbe917-3d84-4170-af9d-03912468fcd4";"C:\windows\ccmcache\1i";"32.33";"Deleted!"
"Orphaned Cache Item";"d4b6e2ed-bdef-46b8-83e7-9437c79ac665";"C:\windows\ccmcache\1h";"31.41";"Deleted!"
"Orphaned Cache Item";"c918d7aa-f103-4d38-b06b-22c2ffa82feb";"C:\windows\ccmcache\26";"3.52";"Deleted!"
"Orphaned Cache Item";"10a2ab32-8100-4d18-ac8c-cebbc25f383e";"C:\windows\ccmcache\1g";"28.38";"Deleted!"
"Orphaned Cache Item";"5d1bbfa4-d612-4fd4-a2d7-2a161b77dec8";"C:\windows\ccmcache\1f";"26.47";"Deleted!"
"Orphaned Cache Item";"bb25dcc7-0cde-48cc-a7b7-26eb82bd5936";"C:\windows\ccmcache\1d";"25.50";"Deleted!"
